"","Astro","Micro-PVM"
"APOE",-0.1089,0.0513
"TREM2",0.0011,0.0063
"BIN1",0.0694,0.038
"PICALM",0.0029,0.0526
"CLU",0.1422,0.0735
"CR1",-0.0343,-0.0335
"ABCA7",0.1162,0.1288
"SORL1",-0.0262,0.1429
"MS4A6A",-0.0087,0.3902
"MS4A4A",-0.0098,0.1214
"CD33",0.003,0.0173
"CD2AP",-0.1025,0.1095
"EPHA1",0.0115,0.0231
"PTK2B",-0.0378,0.0507
"FERMT2",-0.1502,0.0253
"INPP5D",0.0321,0.1804
"MEF2C",-0.0193,0.2207
"SLC24A4",-0.2883,0.0596
"ABCA1",0.1904,0.013
"ADAM10",-0.0101,0.0097
"APH1B",-0.0163,0.0961
"SPI1",-0.1843,0.1113
"PLCG2",0.3278,0.1698
"SORT1",0.0931,0.1929
"HLA-DRB1",-0.0344,-0.0016
"CASS4",0.0916,0.2207
"CELF1",0.1418,0.0543
"NME8",0.0055,0.0173
"ZCWPW1",-0.0671,-0.0069
"ECHDC3",0.0452,0.1656
"ACE",-0.0081,6e-04
"ADAMTS1",-0.0087,0.0245
"SCIMP",-0.0941,0.0911
"TSPOAP1",0.1308,0.041
"CD55",-0.1618,0.0689
"RHOH",0.0051,0.0564
"KLF16",0.0255,0.0805
"WDR81",0.0257,0.0545
"SHARPIN",-0.0409,0.0609
"GRN",0.0632,0.2442
"TMEM106B",0.0247,0.1045
