"cell_type","algorithm","breakpoint","boundary_region"
"Astrocyte","Piecewise_PC1",0.557142857142857,"MCI_stage"
"Astrocyte","CUSUM_PC1",0.65,"MCI_stage"
"Astrocyte","DP_PC1",0.6,"MCI_stage"
"Astrocyte","Segmented_PC1",0.649993465082947,"MCI_stage"
"Astrocyte","Piecewise_PC2",0.257142857142857,"master_event"
"Astrocyte","CUSUM_PC2",0.25,"master_event"
"Astrocyte","DP_PC2",0.3,"MCI_stage"
"Astrocyte","Segmented_PC2",0.285336052643552,"master_event"
"Astrocyte","Piecewise_PC3",0.557142857142857,"MCI_stage"
"Astrocyte","CUSUM_PC3",0.55,"MCI_stage"
"Astrocyte","DP_PC3",0.6,"MCI_stage"
"Astrocyte","Segmented_PC3",0.2501,"master_event"
"Astrocyte","Mahalanobis_maxgap",0.2,"master_event"
"Astrocyte","Hierarchical_k3_bp1",0.2,"master_event"
"Astrocyte","Hierarchical_k3_bp2",0.3,"MCI_stage"
"Astrocyte","Kmeans_k3_bp1",0.2,"master_event"
"Astrocyte","Kmeans_k3_bp2",0.5,"MCI_stage"
"Astrocyte","Variance_jump",0.2,"master_event"
"Astrocyte","Trajectory_inflection",0.25,"master_event"
"Microglia","Piecewise_PC1",0.257142857142857,"master_event"
"Microglia","CUSUM_PC1",0.45,"MCI_stage"
"Microglia","DP_PC1",0.3,"MCI_stage"
"Microglia","Segmented_PC1",0.480833417218763,"MCI_stage"
"Microglia","Piecewise_PC2",0.757142857142857,"MCI_stage"
"Microglia","CUSUM_PC2",0.65,"MCI_stage"
"Microglia","DP_PC2",0.8,"MCI_stage"
"Microglia","Segmented_PC2",0.839447000780313,"MCI_stage"
"Microglia","Piecewise_PC3",0.457142857142857,"MCI_stage"
"Microglia","CUSUM_PC3",0.45,"MCI_stage"
"Microglia","DP_PC3",0.5,"MCI_stage"
"Microglia","Segmented_PC3",0.450002556384455,"MCI_stage"
"Microglia","Mahalanobis_maxgap",0.2,"master_event"
"Microglia","Hierarchical_k3_bp1",0.2,"master_event"
"Microglia","Hierarchical_k3_bp2",0.9,"MCI_stage"
"Microglia","Kmeans_k3_bp1",0.2,"master_event"
"Microglia","Kmeans_k3_bp2",0.9,"MCI_stage"
"Microglia","Variance_jump",0.2,"master_event"
"Microglia","Trajectory_inflection",0.25,"master_event"
"Oligodendrocyte","Piecewise_PC1",0.757142857142857,"MCI_stage"
"Oligodendrocyte","CUSUM_PC1",0.45,"MCI_stage"
"Oligodendrocyte","DP_PC1",0.8,"MCI_stage"
"Oligodendrocyte","Segmented_PC1",0.8499,"MCI_stage"
"Oligodendrocyte","Piecewise_PC2",0.757142857142857,"MCI_stage"
"Oligodendrocyte","CUSUM_PC2",0.85,"MCI_stage"
"Oligodendrocyte","DP_PC2",0.8,"MCI_stage"
"Oligodendrocyte","Segmented_PC2",0.834908223609553,"MCI_stage"
"Oligodendrocyte","Piecewise_PC3",0.657142857142857,"MCI_stage"
"Oligodendrocyte","CUSUM_PC3",0.15,"master_event"
"Oligodendrocyte","DP_PC3",0.7,"MCI_stage"
"Oligodendrocyte","Segmented_PC3",0.287607647035131,"master_event"
"Oligodendrocyte","Mahalanobis_maxgap",0.9,"MCI_stage"
"Oligodendrocyte","Hierarchical_k3_bp1",0.5,"MCI_stage"
"Oligodendrocyte","Hierarchical_k3_bp2",0.6,"MCI_stage"
"Oligodendrocyte","Kmeans_k3_bp1",0.5,"MCI_stage"
"Oligodendrocyte","Kmeans_k3_bp2",0.9,"MCI_stage"
"Oligodendrocyte","Variance_jump",0.9,"MCI_stage"
"Oligodendrocyte","Trajectory_inflection",0.85,"MCI_stage"
"OPC","Piecewise_PC1",0.357142857142857,"MCI_stage"
"OPC","CUSUM_PC1",0.65,"MCI_stage"
"OPC","DP_PC1",0.4,"MCI_stage"
"OPC","Segmented_PC1",0.2501,"master_event"
"OPC","Piecewise_PC2",0.257142857142857,"master_event"
"OPC","CUSUM_PC2",0.15,"master_event"
"OPC","DP_PC2",0.3,"MCI_stage"
"OPC","Segmented_PC2",0.385356287670433,"MCI_stage"
"OPC","Piecewise_PC3",0.557142857142857,"MCI_stage"
"OPC","CUSUM_PC3",0.55,"MCI_stage"
"OPC","DP_PC3",0.6,"MCI_stage"
"OPC","Segmented_PC3",0.449996766941568,"MCI_stage"
"OPC","Mahalanobis_maxgap",0.2,"master_event"
"OPC","Hierarchical_k3_bp1",0.2,"master_event"
"OPC","Hierarchical_k3_bp2",0.5,"MCI_stage"
"OPC","Kmeans_k3_bp1",0.2,"master_event"
"OPC","Kmeans_k3_bp2",0.5,"MCI_stage"
"OPC","Variance_jump",0.2,"master_event"
"OPC","Trajectory_inflection",0.25,"master_event"
"Excitatory","Piecewise_PC1",0.257142857142857,"master_event"
"Excitatory","CUSUM_PC1",0.45,"MCI_stage"
"Excitatory","DP_PC1",0.3,"MCI_stage"
"Excitatory","Segmented_PC1",0.2501,"master_event"
"Excitatory","Piecewise_PC2",0.257142857142857,"master_event"
"Excitatory","CUSUM_PC2",0.65,"MCI_stage"
"Excitatory","DP_PC2",0.3,"MCI_stage"
"Excitatory","Segmented_PC2",0.390066237510725,"MCI_stage"
"Excitatory","Piecewise_PC3",0.357142857142857,"MCI_stage"
