"Algorithm_component","Breakpoint_CPS","Region","Region_permutation_specificity"
"Hier_k3_bp1",0.206829687,"Primary (CPS~0.21)","0/1000 (panel-specific; PC1 0.0000, hier3 0.0000)"
"KMeans_k3_bp1",0.206829687,"Primary (CPS~0.21)","0/1000 (panel-specific; PC1 0.0000, hier3 0.0000)"
"Variance_jump",0.206829687,"Primary (CPS~0.21)","0/1000 (panel-specific; PC1 0.0000, hier3 0.0000)"
"Trajectory_inflection",0.243572578,"Primary (CPS~0.21)","0/1000 (panel-specific; PC1 0.0000, hier3 0.0000)"
"PCA_PC3",0.263572578,"Substructure","not tested (within master regime)"
"Hier_k3_bp2",0.286888128,"Substructure","not tested (within master regime)"
"KMeans_k3_bp2",0.286888128,"Substructure","not tested (within master regime)"
"PCA_PC2",0.333424148,"Substructure","not tested (within master regime)"
"DP_PC2",0.388049063,"Secondary (CPS~0.39-0.42)","empirical P = 0.127 (intermediate)"
"Segmented_PC3",0.416293539,"Secondary (CPS~0.39-0.42)","empirical P = 0.127 (intermediate)"
"CUSUM_PC2",0.539863514,"Late split (CPS~0.54-0.67)","40% of random panels (non-specific)"
"CUSUM_PC3",0.539863514,"Late split (CPS~0.54-0.67)","40% of random panels (non-specific)"
"PCA_PC1",0.542978858,"Late split (CPS~0.54-0.67)","40% of random panels (non-specific)"
"Mahal_max_gap",0.597109368,"Late split (CPS~0.54-0.67)","40% of random panels (non-specific)"
"DP_PC1",0.597109368,"Late split (CPS~0.54-0.67)","40% of random panels (non-specific)"
"DP_PC3",0.597109368,"Late split (CPS~0.54-0.67)","40% of random panels (non-specific)"
"CUSUM_PC1",0.654355222,"Late split (CPS~0.54-0.67)","40% of random panels (non-specific)"
"Segmented_PC2",0.654355272,"Late split (CPS~0.54-0.67)","40% of random panels (non-specific)"
"Segmented_PC1",0.665897944,"Late split (CPS~0.54-0.67)","40% of random panels (non-specific)"
