"Gene","Delta_z","Bin3_z","Bin4_z"
"TFRC",0.359525371892003,-0.0623639660120935,0.297161405879909
"APOE",0.303191380018896,0.103958683155748,0.407150063174644
"GFAP",0.252089900402888,-0.186554289448172,0.0655356109547163
"FKBP5",0.197789233367921,-0.240798997715478,-0.0430097643475566
"NFKB1",0.186358574900127,-0.0822949091894542,0.104063665710673
"MERTK",-0.177156868371809,0.0100715453675476,-0.167085323004261
"NEFL",-0.149506365555826,0.081673381932807,-0.0678329836230187
"CASP3",0.14375689264004,0.0231021115835378,0.166859004223578
"AQP4",0.141453304905868,0.0651212506530141,0.206574555558882
"FTH1",-0.129653520932321,0.391733698842459,0.262080177910138
"VCAM1",0.106409869315935,-0.00719919869997168,0.0992106706159634
"STAT3",0.098297133730956,-0.203372000836865,-0.105074867105909
"BCL2",0.0947318734161399,-0.025925375523562,0.0688064978925779
"TP53",0.0915753812154152,-0.163738502548735,-0.0721631213333198
"OCLN",0.0871077667983771,-0.0261281892018221,0.060979577596555
"NFE2L2",0.0823974394095561,-0.0342485922064836,0.0481488472030725
"SERPINA3",-0.081873842663926,-0.202258727051698,-0.284132569715624
"CLU",0.0802822115970471,0.0601809009874249,0.140463112584472
"C3",0.0714912025135586,-0.0338972759041787,0.0375939266093799
"SOX9",0.062996903051095,-0.0408878085658746,0.0221090944852204
"CD33",-0.0487721302417623,0.0075561180545124,-0.0412160121872499
"STAT1",0.0480416752013954,-0.0541334539801417,-0.00609177877874633
"SOCS3",-0.038730738173221,-0.132415527943803,-0.171146266117024
"FTL",-0.036826523066127,0.174709034458626,0.137882511392499
"CCL2",-0.034258296463986,-0.106683976181089,-0.140942272645075
"VIM",-0.0341002694679787,0.00228579992486166,-0.031814469543117
"VWF",0.0312848058095587,0.0142875758827778,0.0455723816923365
"APP",0.0263047373606832,0.0574822395550346,0.0837869769157178
"IL6",-0.02562415413846,0.0144807740189324,-0.0111433801195276
"NGF",-0.0252514585114973,0.000398221224106895,-0.0248532372873904
"TNF",-0.0248426125849016,0.0181980258568363,-0.00664458672806525
"ICAM1",-0.0170572344492,-0.105411996770753,-0.122469231219953
"CXCL16",-0.0169659556575377,-0.000958399845972164,-0.0179243555035099
"PECAM1",0.0168168209700859,-0.0239373310555235,-0.00712051008543763
"GDNF",-0.0162284491947794,-0.000429000697254626,-0.016657449892034
"MFGE8",0.009369440842001,0.0368990609613706,0.0462685018033716
"SELE",0.0089886324184611,0.0106707728543921,0.0196594052728532
"IL1B",-0.0087660482793311,-0.0133336063901305,-0.0220996546694616
"CXCL12",0.0078123177500666,-0.0197377993629764,-0.0119254816129098
"HMOX1",-0.0074204895056268,-0.0512610573893829,-0.0586815468950097
"TREM2",0.00659840518905327,-0.00684203509349788,-0.000243629904444614
"CR1",0.0055604223228177,-0.0157143410375805,-0.0101539187147628
"BDNF",-0.00463321995041389,0.0643549191656727,0.0597216992152588
"FBLN5",0.0020139510667453,-0.0116033408901274,-0.0095893898233821
