"Gene","Delta_z","Bin1_z","Bin2_z"
"HMOX1",-0.604268880462565,0.573237995000775,-0.0310308854617897
"GFAP",0.476127045483767,-0.274673655178881,0.201453390304886
"FKBP5",0.467696711122649,-0.47876696079613,-0.011070249673481
"BCL2",0.350556415587151,-0.299533473657955,0.0510229419291955
"MERTK",0.241252679590446,-0.401102202233376,-0.15984952264293
"SOX9",0.233273612167425,-0.225217878227369,0.008055733940056
"SERPINA3",0.204097376251441,0.00666735366184749,0.210764729913288
"TFRC",-0.197137421325144,0.323996280406306,0.126858859081162
"BDNF",-0.172656546239729,0.205685919178136,0.0330293729384073
"STAT3",0.170904932243999,-0.158860992803886,0.0120439394401127
"TP53",0.154780329400615,-0.111084939677954,0.0436953897226614
"APOE",-0.153327862044634,0.218361157257398,0.0650332952127642
"AQP4",0.124621983296741,0.0179011657045937,0.142523149001335
"CCL2",-0.118301469278769,0.0472821860344803,-0.0710192832442887
"APP",-0.113849581594182,0.0690384674644603,-0.044811114129722
"OCLN",0.105307705284818,-0.0245276892079148,0.0807800160769032
"NEFL",-0.101804184324424,0.111143204534707,0.0093390202102833
"CLU",0.0935388773528477,-0.165464438692111,-0.0719255613392633
"NFE2L2",0.0928131777160378,-0.105876990657266,-0.0130638129412282
"VIM",-0.0877142946703972,0.0914370440532134,0.00372274938281618
"ICAM1",-0.0748616881382518,0.0591067946060882,-0.0157548935321636
"SOCS3",0.0706866391983374,0.0543769030866286,0.125063542284966
"NGF",-0.0642954853716433,0.0160392141785977,-0.0482562711930456
"IL6",-0.0583712778140685,0.053448793093589,-0.00492248472047949
"NFKB1",-0.051697523374918,0.0148967802899454,-0.0368007430849726
"MFGE8",-0.042861271720905,-0.1683967301598,-0.211258001880705
"FTH1",0.039105258771296,0.268121514685487,0.307226773456783
"STAT1",0.0297747775279174,0.0230007082539612,0.0527754857818786
"PECAM1",-0.0281262849957769,0.0183889265654834,-0.00973735843029355
"VWF",-0.0236330533986598,0.0536757668496979,0.0300427134510381
"CASP3",-0.0231285769698048,0.0297015449953915,0.00657296802558672
"TREM2",0.0230117006836179,-0.031446805224997,-0.00843510454137915
"FTL",0.022330886788326,0.164596137339193,0.186927024127519
"CD33",-0.0221990939328413,0.00704306608908585,-0.0151560278437554
"CXCL16",-0.0213875993579186,-0.00463415746630565,-0.0260217568242243
"CR1",-0.0208288749935115,0.0371270557692395,0.016298180775728
"VCAM1",0.0190853560439729,0.0178541465638921,0.036939502607865
"TNF",0.0147294545529475,-0.00664458672806525,0.00808486782488229
"IL1B",0.0118647947192989,0.0020869484113497,0.0139517431306486
"GDNF",-0.0101619677423138,0.00361938314521238,-0.00654258459710138
"C3",0.008710124487445,0.111440623458251,0.120150747945696
"CXCL12",-0.0077182348691738,-0.0194668935808412,-0.027185128450015
"SELE",0.0072939048284792,0.0219630533972148,0.029256958225694
"FBLN5",0.0040228439523416,0.0126616888753284,0.01668453282767
