"marker","MTG","A9"
"GFAP",0.4101,0.0264
"SERPINA3",0.1656,0.0194
"VIM",-0.1059,-0.2771
"FBLN5",0.0059,0.0254
"AQP4",0.0913,-0.1827
"MERTK",0.2141,0.0887
"MFGE8",-0.0604,-0.1137
"SOX9",0.2037,0.0213
"FKBP5",0.4457,0.199
"C3",0.0156,-0.001
"STAT1",0.0125,0.1038
"STAT3",0.1335,0.13
"SOCS3",0.0589,0.099
"NFKB1",-0.0781,0.0634
"IL1B",0.0151,0.0068
"IL6",-0.0582,-0.0199
"TNF",0.0113,0.0234
"CCL2",-0.1286,0.0215
"CXCL12",-0.0137,4e-04
"CXCL16",-0.0241,-0.0024
"ICAM1",-0.0987,0.0234
"VCAM1",0.0196,0.0066
"VWF",-0.0267,0.0232
"SELE",0.0104,0.0153
"OCLN",0.0982,0.0228
"PECAM1",-0.0287,-6e-04
"APOE",-0.2062,-0.618
"CLU",0.0122,-0.4265
"TREM2",0.0215,0.0053
"CR1",-0.0188,-0.0151
"CD33",-0.0214,0.0602
"FTH1",0.0542,-0.1951
"FTL",0.0458,-0.2728
"HMOX1",-0.6939,-0.0607
"NFE2L2",0.0692,-0.0416
"TFRC",-0.2909,0.154
"NEFL",-0.104,0.0202
"BDNF",-0.1744,-0.0627
"GDNF",-0.0138,0.0122
"NGF",-0.0682,-0.001
"APP",-0.1434,0.2199
"CASP3",-0.0354,0.0241
"BCL2",0.3762,0.2767
"TP53",0.1445,0.0801
