"region","cell_class","panel","gene","bin","z_pre","offset","z_post"
"MTG","Astro","HK","ACTB",0.15,0.176863371637265,0.0158398877419187,0.161023483895346
"MTG","Astro","HK","ACTB",0.25,0.0184747199976464,0.0116301375692127,0.00684458242843372
"MTG","Astro","HK","ACTB",0.35,-0.0361908792616724,0.00173785494192052,-0.0379287342035929
"MTG","Astro","HK","ACTB",0.45,0.181918522644963,0.0156015083396798,0.166317014305283
"MTG","Astro","HK","ACTB",0.55,0.0393801876559236,0.00065879251592257,0.0387213951400011
"MTG","Astro","HK","ACTB",0.65,0.0999778535456734,0.0102102428535229,0.0897676106921506
"MTG","Astro","HK","ACTB",0.75,-0.0946108571588401,5.77811448004009e-05,-0.0946686383036405
"MTG","Astro","HK","ACTB",0.85,-0.0203612887296039,-0.00660121207881921,-0.0137600766507847
"MTG","Astro","HK","ACTB",0.95,0.0743683673139258,-0.0194205615898604,0.0937889289037862
"MTG","Astro","HK","GAPDH",0.15,0.307844991485337,0.0158398877419187,0.292005103743418
"MTG","Astro","HK","GAPDH",0.25,0.100571175405121,0.0116301375692127,0.0889410378359086
"MTG","Astro","HK","GAPDH",0.35,0.122422326717387,0.00173785494192052,0.120684471775467
"MTG","Astro","HK","GAPDH",0.45,0.167439747943148,0.0156015083396798,0.151838239603468
"MTG","Astro","HK","GAPDH",0.55,-0.0141997748647916,0.00065879251592257,-0.0148585673807142
"MTG","Astro","HK","GAPDH",0.65,0.172421802604273,0.0102102428535229,0.16221155975075
"MTG","Astro","HK","GAPDH",0.75,-0.156284746149108,5.77811448004009e-05,-0.156342527293909
"MTG","Astro","HK","GAPDH",0.85,-0.0837170007456621,-0.00660121207881921,-0.0771157886668429
"MTG","Astro","HK","GAPDH",0.95,0.0416929629890037,-0.0194205615898604,0.0611135245788642
"MTG","Astro","HK","B2M",0.15,0.235159326886575,0.0158398877419187,0.219319439144657
"MTG","Astro","HK","B2M",0.25,0.0129883149184367,0.0116301375692127,0.00135817734922406
"MTG","Astro","HK","B2M",0.35,-0.0289264864155039,0.00173785494192052,-0.0306643413574244
"MTG","Astro","HK","B2M",0.45,0.0849120965738258,0.0156015083396798,0.069310588234146
"MTG","Astro","HK","B2M",0.55,0.0221389730848351,0.00065879251592257,0.0214801805689125
"MTG","Astro","HK","B2M",0.65,0.0164450140310017,0.0102102428535229,0.00623477117747884
"MTG","Astro","HK","B2M",0.75,0.0376731297244845,5.77811448004009e-05,0.0376153485796841
"MTG","Astro","HK","B2M",0.85,-0.0461338440416146,-0.00660121207881921,-0.0395326319627954
"MTG","Astro","HK","B2M",0.95,-0.0749907654834097,-0.0194205615898604,-0.0555702038935492
"MTG","Astro","HK","PGK1",0.15,0.139501985935425,0.0158398877419187,0.123662098193507
"MTG","Astro","HK","PGK1",0.25,-0.0434801730207127,0.0116301375692127,-0.0551103105899254
"MTG","Astro","HK","PGK1",0.35,0.0942788180290062,0.00173785494192052,0.0925409630870857
"MTG","Astro","HK","PGK1",0.45,0.0896040988829931,0.0156015083396798,0.0740025905433133
"MTG","Astro","HK","PGK1",0.55,0.0508659741634559,0.00065879251592257,0.0502071816475334
"MTG","Astro","HK","PGK1",0.65,-0.0097153885687259,0.0102102428535229,-0.0199256314222488
"MTG","Astro","HK","PGK1",0.75,0.00659179494171305,5.77811448004009e-05,0.00653401379691265
"MTG","Astro","HK","PGK1",0.85,-0.0872564079435336,-0.00660121207881921,-0.0806551958647143
"MTG","Astro","HK","PGK1",0.95,0.0202640548671325,-0.0194205615898604,0.039684616456993
"MTG","Astro","HK","TBP",0.15,0.0284852199694371,0.0158398877419187,0.0126453322275184
"MTG","Astro","HK","TBP",0.25,0.0615486354090944,0.0116301375692127,0.0499184978398817
"MTG","Astro","HK","TBP",0.35,-0.0194981823567477,0.00173785494192052,-0.0212360372986682
"MTG","Astro","HK","TBP",0.45,0.0520245970093535,0.0156015083396798,0.0364230886696736
"MTG","Astro","HK","TBP",0.55,0.0215108779220027,0.00065879251592257,0.0208520854060802
"MTG","Astro","HK","TBP",0.65,0.0595380954832506,0.0102102428535229,0.0493278526297277
"MTG","Astro","HK","TBP",0.75,-0.00254439590586677,5.77811448004009e-05,-0.00260217705066717
"MTG","Astro","HK","TBP",0.85,-0.0201250917142038,-0.00660121207881921,-0.0135238796353846
"MTG","Astro","HK","TBP",0.95,-0.0941297389726238,-0.0194205615898604,-0.0747091773827633
"MTG","Astro","HK","RPL13A",0.15,0.20425017658919,0.0158398877419187,0.188410288847272
"MTG","Astro","HK","RPL13A",0.25,0.0830900250323508,0.0116301375692127,0.0714598874631381
"MTG","Astro","HK","RPL13A",0.35,0.0348936508535308,0.00173785494192052,0.0331557959116103
"MTG","Astro","HK","RPL13A",0.45,0.0752443857471466,0.0156015083396798,0.0596428774074667
"MTG","Astro","HK","RPL13A",0.55,-0.00796196197471904,0.00065879251592257,-0.00862075449064161
"MTG","Astro","HK","RPL13A",0.65,0.108557930604286,0.0102102428535229,0.0983476877507632
"MTG","Astro","HK","RPL13A",0.75,-0.0605519870861292,5.77811448004009e-05,-0.0606097682309296
"MTG","Astro","HK","RPL13A",0.85,-0.0229286303124942,-0.00660121207881921,-0.016327418233675
"MTG","Astro","HK","RPL13A",0.95,-0.124421195415082,-0.0194205615898604,-0.105000633825221
"MTG","Astro","HK","HPRT1",0.15,0.0638739876721406,0.0158398877419187,0.048034099930222
"MTG","Astro","HK","HPRT1",0.25,0.0154009245055746,0.0116301375692127,0.00377078693636196
"MTG","Astro","HK","HPRT1",0.35,0.0310068420142776,0.00173785494192052,0.0292689870723571
"MTG","Astro","HK","HPRT1",0.45,-0.0279431142150059,0.0156015083396798,-0.0435446225546858
"MTG","Astro","HK","HPRT1",0.55,0.0622762529676849,0.00065879251592257,0.0616174604517623
"MTG","Astro","HK","HPRT1",0.65,-0.0389541141892501,0.0102102428535229,-0.049164357042773
"MTG","Astro","HK","HPRT1",0.75,0.0349759596575217,5.77811448004009e-05,0.0349181785127213
"MTG","Astro","HK","HPRT1",0.85,-0.0464852927655408,-0.00660121207881921,-0.0398840806867216
"MTG","Astro","HK","HPRT1",0.95,-0.0564723031360714,-0.0194205615898604,-0.037051741546211
"MTG","Astro","HK","PPIA",0.15,0.112779379402739,0.0158398877419187,0.0969394916608208
"MTG","Astro","HK","PPIA",0.25,-0.0162753357950808,0.0116301375692127,-0.0279054733642935
"MTG","Astro","HK","PPIA",0.35,0.03207058643931,0.00173785494192052,0.0303327314973895
"MTG","Astro","HK","PPIA",0.45,0.0148565907857121,0.0156015083396798,-0.000744917553967701
"MTG","Astro","HK","PPIA",0.55,0.0528862935220732,0.00065879251592257,0.0522275010061506
"MTG","Astro","HK","PPIA",0.65,0.0350934582245624,0.0102102428535229,0.0248832153710395
"MTG","Astro","HK","PPIA",0.75,-0.00014089286208902,5.77811448004009e-05,-0.000198674006889421
"MTG","Astro","HK","PPIA",0.85,-0.0288210611395982,-0.00660121207881921,-0.022219849060779
"MTG","Astro","HK","PPIA",0.95,-0.0977388028845962,-0.0194205615898604,-0.0783182412947357
"MTG","Astro","HK","YWHAZ",0.15,0.137569807578695,0.0158398877419187,0.121729919836777
"MTG","Astro","HK","YWHAZ",0.25,-0.0345777054136347,0.0116301375692127,-0.0462078429828474
"MTG","Astro","HK","YWHAZ",0.35,-0.0135947330121783,0.00173785494192052,-0.0153325879540989
"MTG","Astro","HK","YWHAZ",0.45,0.162998295614307,0.0156015083396798,0.147396787274627
"MTG","Astro","HK","YWHAZ",0.55,-0.0492556227212914,0.00065879251592257,-0.049914415237214
"MTG","Astro","HK","YWHAZ",0.65,0.000469243298045387,0.0102102428535229,-0.00974099955547749
"MTG","Astro","HK","YWHAZ",0.75,0.032627398684277,5.77811448004009e-05,0.0325696175394766
"MTG","Astro","HK","YWHAZ",0.85,-0.0229360357863921,-0.00660121207881921,-0.0163348237075729
"MTG","Astro","HK","YWHAZ",0.95,-0.00372131368401614,-0.0194205615898604,0.0156992479058443
"MTG","Astro","HK","SDHA",0.15,0.0917398618195827,0.0158398877419187,0.0758999740776641
"MTG","Astro","HK","SDHA",0.25,0.0313954341638532,0.0116301375692127,0.0197652965946405
"MTG","Astro","HK","SDHA",0.35,-0.0278040302520084,0.00173785494192052,-0.0295418851939289
"MTG","Astro","HK","SDHA",0.45,0.0431862803322224,0.0156015083396798,0.0275847719925426
"MTG","Astro","HK","SDHA",0.55,-0.0132543857514069,0.00065879251592257,-0.0139131782673295
"MTG","Astro","HK","SDHA",0.65,-0.00501454238749168,0.0102102428535229,-0.0152247852410146
"MTG","Astro","HK","SDHA",0.75,0.0146017616862853,5.77811448004009e-05,0.0145439805414849
"MTG","Astro","HK","SDHA",0.85,0.00108661243066818,-0.00660121207881921,0.00768782450948738
"MTG","Astro","HK","SDHA",0.95,-0.054959827197005,-0.0194205615898604,-0.0355392656071445
