"gene","celltype","testable","logFC","PValue","FDR"
"HMOX1","Astro",FALSE,NA,NA,NA
"GFAP","Astro",TRUE,-0.0183703956791463,0.870560103424146,0.978362731477587
"MERTK","Astro",TRUE,-0.0352277830834387,0.75810784825204,0.957470114782709
"FKBP5","Astro",TRUE,-0.00719755360977466,0.950044490955884,0.98762485464255
"TFRC","Astro",TRUE,0.00717213431244535,0.962582866276031,0.992332719257511
"FTH1","Astro",TRUE,0.538021124801993,0.000684321132626294,0.127829194063035
"AQP4","Astro",TRUE,0.390559353043734,0.00137346456289254,0.157183155941178
"PTGDS","Astro",TRUE,-0.323596101123724,0.110964192518562,0.627590021245234
"LCN2","Astro",FALSE,NA,NA,NA
"STAT3","Astro",TRUE,-0.0983615522982998,0.520480758802242,0.893973213961952
"NEFL","Astro",TRUE,-0.90777809086808,0.000423604410730009,0.113671063842364
"HMOX1","Endo",FALSE,NA,NA,NA
"GFAP","Endo",TRUE,-0.292637270962188,0.16947863431961,0.659492946591526
"MERTK","Endo",FALSE,NA,NA,NA
"FKBP5","Endo",TRUE,-0.0197637926216118,0.920470521823926,0.994460953938095
"TFRC","Endo",TRUE,0.143946099498221,0.448001241105707,0.893741372317587
"FTH1","Endo",TRUE,0.6328977042342,0.00724028511291667,0.137903653157186
"AQP4","Endo",FALSE,NA,NA,NA
"PTGDS","Endo",TRUE,0.144749614509831,0.588975587527249,0.947652805520954
"LCN2","Endo",FALSE,NA,NA,NA
"STAT3","Endo",TRUE,-0.0410762787395752,0.843158152813464,0.986898119673495
"NEFL","Endo",FALSE,NA,NA,NA
"HMOX1","Exc",TRUE,0.184597261382726,0.386082084024444,0.88561509879586
"GFAP","Exc",TRUE,0.431821023892594,0.00740251096832893,0.522344301173586
"MERTK","Exc",TRUE,0.155633888319771,0.369425603493512,0.882266619247329
"FKBP5","Exc",TRUE,0.378644986211366,0.00766807692958821,0.527326141097826
"TFRC","Exc",TRUE,-0.202345164121226,0.109436316550846,0.74479877500394
"FTH1","Exc",TRUE,0.249967408036131,0.0375303461779748,0.660347903386319
"AQP4","Exc",TRUE,0.333586198022169,0.0532980131806205,0.68308833492715
"PTGDS","Exc",TRUE,-0.0331466556482223,0.869546730524215,0.983755931149623
"LCN2","Exc",FALSE,NA,NA,NA
"STAT3","Exc",TRUE,-0.0538211147500311,0.607370041432776,0.944326759620768
"NEFL","Exc",TRUE,0.00895553735959571,0.949741102292624,0.994721202728123
"HMOX1","Inh",FALSE,NA,NA,NA
"GFAP","Inh",TRUE,0.259653929031245,0.141621479298194,0.830483085402722
"MERTK","Inh",TRUE,-0.00117617109794833,0.995967918110761,0.999861182484763
"FKBP5","Inh",TRUE,0.201286224264491,0.0870756468269308,0.785196278675043
"TFRC","Inh",TRUE,-0.174482592342434,0.23992673094765,0.896066281520972
"FTH1","Inh",TRUE,0.318867973647589,0.00983748082809277,0.568972437662017
"AQP4","Inh",TRUE,0.385318339170867,0.169128042433506,0.850423546798257
"PTGDS","Inh",TRUE,0.0171417482369525,0.917211873309571,0.995747332545835
"LCN2","Inh",FALSE,NA,NA,NA
"STAT3","Inh",TRUE,-0.0531717462391912,0.62597562097384,0.969288516599443
"NEFL","Inh",TRUE,-0.0935141400275857,0.487387008749618,0.952766480297437
"HMOX1","Micro",TRUE,-0.177972156763071,0.421684422030062,0.92601346811766
"GFAP","Micro",TRUE,0.162591796212197,0.299154968279867,0.89764919639628
"MERTK","Micro",TRUE,-0.0456977668235865,0.762387752081536,0.969807787758018
"FKBP5","Micro",TRUE,0.179520829011548,0.195552237173118,0.825079999206809
"TFRC","Micro",FALSE,NA,NA,NA
"FTH1","Micro",TRUE,0.235169317959077,0.106151523178521,0.737232753176994
"AQP4","Micro",FALSE,NA,NA,NA
"PTGDS","Micro",TRUE,-0.2426945180177,0.155121173438327,0.810577856092593
"LCN2","Micro",FALSE,NA,NA,NA
"STAT3","Micro",TRUE,-0.103224721926904,0.537016271542347,0.95364117691085
"NEFL","Micro",TRUE,-0.834003847953634,0.000186801611582892,0.0311141434292755
"HMOX1","Oligo",FALSE,NA,NA,NA
"GFAP","Oligo",TRUE,-0.0269723696988947,0.847145953402431,0.9618910388325
"MERTK","Oligo",FALSE,NA,NA,NA
"FKBP5","Oligo",TRUE,0.0598678031748634,0.684636410863305,0.908353671687372
"TFRC","Oligo",FALSE,NA,NA,NA
"FTH1","Oligo",TRUE,0.508784440764988,0.00748270167007954,0.155633181970035
"AQP4","Oligo",FALSE,NA,NA,NA
"PTGDS","Oligo",TRUE,-0.430505771164068,0.0214536683727143,0.23741129974811
"LCN2","Oligo",FALSE,NA,NA,NA
"STAT3","Oligo",TRUE,-0.155632254762045,0.316750847362009,0.696246664488057
"NEFL","Oligo",TRUE,-1.10609831528345,7.3309138792563e-06,0.0143374348193555
"HMOX1","OPC",FALSE,NA,NA,NA
"GFAP","OPC",TRUE,0.0654733733250771,0.617235161999601,0.892888615437525
"MERTK","OPC",TRUE,0.31831462402577,0.0453674290213312,0.392798396394352
"FKBP5","OPC",TRUE,0.12773785277914,0.278018708851322,0.705607799135694
"TFRC","OPC",TRUE,-0.0887443160799527,0.533505602328522,0.853070069177828
"FTH1","OPC",TRUE,0.221131954963611,0.0704830812000037,0.447924291168848
"AQP4","OPC",FALSE,NA,NA,NA
"PTGDS","OPC",TRUE,-0.299487513883703,0.0983199804941367,0.50499103295219
"LCN2","OPC",FALSE,NA,NA,NA
"STAT3","OPC",TRUE,0.0422179105151584,0.767938671202828,0.942634923843679
"NEFL","OPC",TRUE,-1.00502854065126,0.000241949578208006,0.0867881039251931
