"Gene","delta_z (boundary)","mean z, pre-boundary bin","mean z, post-boundary bin"
"HMOX1","-0.604","+0.573","-0.031"
"GFAP","+0.476","-0.275","+0.201"
"FKBP5","+0.468","-0.479","-0.011"
"BCL2","+0.351","-0.300","+0.051"
"MERTK","+0.241","-0.401","-0.160"
"SOX9","+0.233","-0.225","+0.008"
"SERPINA3","+0.204","+0.007","+0.211"
"TFRC","-0.197","+0.324","+0.127"
"BDNF","-0.173","+0.206","+0.033"
"STAT3","+0.171","-0.159","+0.012"
"TP53","+0.155","-0.111","+0.044"
"APOE","-0.153","+0.218","+0.065"
"AQP4","+0.125","+0.018","+0.143"
"CCL2","-0.118","+0.047","-0.071"
"APP","-0.114","+0.069","-0.045"
"OCLN","+0.105","-0.025","+0.081"
"NEFL","-0.102","+0.111","+0.009"
"CLU","+0.094","-0.165","-0.072"
"NFE2L2","+0.093","-0.106","-0.013"
"VIM","-0.088","+0.091","+0.004"
"ICAM1","-0.075","+0.059","-0.016"
"SOCS3","+0.071","+0.054","+0.125"
"NGF","-0.064","+0.016","-0.048"
"IL6","-0.058","+0.053","-0.005"
"NFKB1","-0.052","+0.015","-0.037"
"MFGE8","-0.043","-0.168","-0.211"
"FTH1","+0.039","+0.268","+0.307"
"STAT1","+0.030","+0.023","+0.053"
"PECAM1","-0.028","+0.018","-0.010"
"VWF","-0.024","+0.054","+0.030"
"CASP3","-0.023","+0.030","+0.007"
"TREM2","+0.023","-0.031","-0.008"
"FTL","+0.022","+0.165","+0.187"
"CD33","-0.022","+0.007","-0.015"
"CXCL16","-0.021","-0.005","-0.026"
"CR1","-0.021","+0.037","+0.016"
"VCAM1","+0.019","+0.018","+0.037"
"TNF","+0.015","-0.007","+0.008"
"IL1B","+0.012","+0.002","+0.014"
"GDNF","-0.010","+0.004","-0.007"
"C3","+0.009","+0.111","+0.120"
"CXCL12","-0.008","-0.019","-0.027"
"SELE","+0.007","+0.022","+0.029"
"FBLN5","+0.004","+0.013","+0.017"
