"algorithm","breakpoint"
"CUSUM_PC1",0.162741585434431
"Mahal_max_gap",0.200801545394062
"Hier_k3_bp1",0.200801545394062
"KMeans_k3_bp1",0.200801545394062
"Trajectory_inflection",0.238861505353692
"Segmented_PC2",0.238861505353692
"PCA_PC1",0.258861505353692
"Segmented_PC1",0.269606972612097
"CUSUM_PC3",0.334464802550424
"DP_PC1",0.390849862238667
"Segmented_PC3",0.444856135985005
"PCA_PC3",0.457253170119373
"DP_PC3",0.493430039999573
"PCA_PC2",0.550613953538517
"DP_PC2",0.600879777788781
"CUSUM_PC2",0.662134397505326
"Hier_k3_bp2",0.885289555246666
"KMeans_k3_bp2",0.885289555246666
"Variance_jump",0.885289555246666
