"gene","cell_type","cps_bin","mean_z"
"GFAP","Astrocyte",0.15,-0.581
"GFAP","Astrocyte",0.25,0.25
"GFAP","Astrocyte",0.35,-0.021
"GFAP","Astrocyte",0.45,-0.222
"GFAP","Astrocyte",0.55,0.618
"GFAP","Astrocyte",0.65,-0.77
"GFAP","Astrocyte",0.75,-0.009
"GFAP","Astrocyte",0.85,-0.032
"GFAP","Astrocyte",0.95,0.703
"CHI3L1","Astrocyte",0.15,0.402
"CHI3L1","Astrocyte",0.25,-0.315
"CHI3L1","Astrocyte",0.35,-0.053
"CHI3L1","Astrocyte",0.45,-0.567
"CHI3L1","Astrocyte",0.55,0.023
"CHI3L1","Astrocyte",0.65,-0.161
"CHI3L1","Astrocyte",0.75,0.288
"CHI3L1","Astrocyte",0.85,0.064
"CHI3L1","Astrocyte",0.95,-0.192
"PTGDS","Astrocyte",0.15,0.128
"PTGDS","Astrocyte",0.25,0.186
"PTGDS","Astrocyte",0.35,0.285
"PTGDS","Astrocyte",0.45,0.466
"PTGDS","Astrocyte",0.55,0.66
"PTGDS","Astrocyte",0.65,0.429
"PTGDS","Astrocyte",0.75,-0.187
"PTGDS","Astrocyte",0.85,-0.304
"PTGDS","Astrocyte",0.95,-0.757
"HMOX1","Astrocyte",0.15,1.565
"HMOX1","Astrocyte",0.25,-0.179
"HMOX1","Astrocyte",0.35,-0.219
"HMOX1","Astrocyte",0.45,-0.231
"HMOX1","Astrocyte",0.55,-0.189
"HMOX1","Astrocyte",0.65,-0.191
"HMOX1","Astrocyte",0.75,0.141
"HMOX1","Astrocyte",0.85,-0.037
"HMOX1","Astrocyte",0.95,-0.085
"TREM2","Microglia",0.15,-0.078
"TREM2","Microglia",0.25,-0.067
"TREM2","Microglia",0.35,0.208
"TREM2","Microglia",0.45,1.558
"TREM2","Microglia",0.55,-0.012
"TREM2","Microglia",0.65,-0.275
"TREM2","Microglia",0.75,0.07
"TREM2","Microglia",0.85,-0.132
"TREM2","Microglia",0.95,-0.281
"NPTX1","Neuron",0.15,-0.735
"NPTX1","Neuron",0.25,-0.605
"NPTX1","Neuron",0.35,-0.275
"NPTX1","Neuron",0.45,-0.267
"NPTX1","Neuron",0.55,0.05
"NPTX1","Neuron",0.65,-0.354
"NPTX1","Neuron",0.75,-0.237
"NPTX1","Neuron",0.85,0.529
"NPTX1","Neuron",0.95,1.258
"NPTX2","Neuron",0.15,2.053
"NPTX2","Neuron",0.25,0.065
"NPTX2","Neuron",0.35,0.321
"NPTX2","Neuron",0.45,0.041
"NPTX2","Neuron",0.55,-0.075
"NPTX2","Neuron",0.65,0.368
"NPTX2","Neuron",0.75,-0.418
"NPTX2","Neuron",0.85,-0.154
"NPTX2","Neuron",0.95,-0.708
"NPTXR","Neuron",0.15,0.762
"NPTXR","Neuron",0.25,0.156
"NPTXR","Neuron",0.35,0.454
"NPTXR","Neuron",0.45,-0.107
"NPTXR","Neuron",0.55,-0.089
"NPTXR","Neuron",0.65,0.412
"NPTXR","Neuron",0.75,-0.644
"NPTXR","Neuron",0.85,-0.05
"NPTXR","Neuron",0.95,0.01
"NRGN","Neuron",0.15,0.059
"NRGN","Neuron",0.25,-0.057
"NRGN","Neuron",0.35,-0.003
"NRGN","Neuron",0.45,-0.363
"NRGN","Neuron",0.55,-0.37
"NRGN","Neuron",0.65,-0.523
"NRGN","Neuron",0.75,-0.082
"NRGN","Neuron",0.85,0.217
"NRGN","Neuron",0.95,0.8
"SNAP25","Neuron",0.15,0.962
"SNAP25","Neuron",0.25,-0.24
"SNAP25","Neuron",0.35,0.278
"SNAP25","Neuron",0.45,-0.085
"SNAP25","Neuron",0.55,0.459
"SNAP25","Neuron",0.65,-0.065
"SNAP25","Neuron",0.75,-0.089
"SNAP25","Neuron",0.85,-0.227
"SNAP25","Neuron",0.95,-0.08
"VAMP2","Neuron",0.15,-0.261
"VAMP2","Neuron",0.25,-0.279
"VAMP2","Neuron",0.35,-0.133
"VAMP2","Neuron",0.45,-0.325
"VAMP2","Neuron",0.55,-0.166
"VAMP2","Neuron",0.65,-0.12
"VAMP2","Neuron",0.75,0.085
"VAMP2","Neuron",0.85,0.142
"VAMP2","Neuron",0.95,0.542
"VGF","Neuron",0.15,1.822
"VGF","Neuron",0.25,0.311
"VGF","Neuron",0.35,0.265
"VGF","Neuron",0.45,0.076
"VGF","Neuron",0.55,-0.464
"VGF","Neuron",0.65,0.184
"VGF","Neuron",0.75,-0.481
"VGF","Neuron",0.85,-0.007
"VGF","Neuron",0.95,-0.506
"SCG2","Neuron",0.15,1.815
"SCG2","Neuron",0.25,0.254
"SCG2","Neuron",0.35,0.214
"SCG2","Neuron",0.45,-0.124
"SCG2","Neuron",0.55,-0.309
"SCG2","Neuron",0.65,0.051
"SCG2","Neuron",0.75,-0.345
"SCG2","Neuron",0.85,-0.22
"SCG2","Neuron",0.95,0.018
"CNTN2","Neuron",0.15,-0.362
"CNTN2","Neuron",0.25,0.098
"CNTN2","Neuron",0.35,-0.16
"CNTN2","Neuron",0.45,-0.458
"CNTN2","Neuron",0.55,0.029
"CNTN2","Neuron",0.65,-0.296
"CNTN2","Neuron",0.75,0.152
"CNTN2","Neuron",0.85,0.013
"CNTN2","Neuron",0.95,0.457
