"gene","cell_type","n_donors","n_cells","spearman_rho","spearman_p","sea_ad_dir","shape","boundary_cps","bin_stability"
"GFAP","Astrocyte",84,67419,0.105,0.343,"flat","non-monotonic(trough@0.65)",0.2,"4/5"
"CHI3L1","Astrocyte",84,67419,0.078,0.483,"flat","non-monotonic(trough@0.45)",0.2,"5/5"
"PTGDS","Astrocyte",84,67419,-0.305,0.00502,"down","non-monotonic(peak@0.55)",0.2,"5/5"
"HMOX1","Astrocyte",84,67419,-0.046,0.678,"flat","monotonic",0.2,"5/5"
"TREM2","Microglia",84,38905,-0.116,0.294,"flat","non-monotonic(peak@0.45)",NA,"3/5"
"NPTX1","Neuron",84,992281,0.436,4.13e-05,"up","monotonic",0.2,"5/5"
"NPTX2","Neuron",84,992281,-0.578,1.53e-08,"down","monotonic",0.2,"5/5"
"NPTXR","Neuron",84,992281,-0.229,0.0361,"down","non-monotonic(trough@0.75)",0.2,"5/5"
"NRGN","Neuron",84,992281,0.157,0.155,"flat","non-monotonic(trough@0.65)",0.2,"0/5"
"SNAP25","Neuron",84,992281,-0.148,0.179,"flat","non-monotonic(trough@0.25)",0.2,"5/5"
"VAMP2","Neuron",84,992281,0.221,0.0435,"up","monotonic",0.2,"5/5"
"VGF","Neuron",84,992281,-0.383,0.000353,"down","monotonic",0.2,"5/5"
"SCG2","Neuron",84,992281,-0.24,0.0282,"down","non-monotonic(trough@0.75)",0.2,"5/5"
"CNTN2","Neuron",84,992281,0.159,0.148,"flat","monotonic",0.2,"4/5"
